,season,team,margin,margin_against,epa,epa_against,epa_net,epa_net_opponent,wepa,d_wepa,wepa_net,wepa_against,d_wepa_against,wepa_net_opponent,wepa_net_normalized
31,2000,LAR,66.0,-66.0,183.2241,112.13887,71.085236,-71.085236,277.12094669309556,104.02151432959363,173.09943236350193,155.77117204703782,168.3142256083811,-12.543053561343264,184.2768134910466
32,2025,NE,198.0,-198.0,111.537605,-109.49327,221.03088,-221.03088,130.53112396579073,-42.54564815124772,173.07677211703844,-83.87999974304739,106.2624952635214,-190.1424950065688,184.2528016264358
33,2020,GB,149.0,-149.0,217.45018,43.100464,174.34972,-174.34972,229.4387753771761,56.68977717277291,172.74899820440322,60.58467347780305,171.92158257284981,-111.33690909504676,183.9054769481349
34,2022,KC,140.0,-140.0,203.25694,30.711332,172.54561,-172.54561,221.34902921284728,49.08573352125981,172.26329569158747,46.35567032264756,170.4604902295979,-124.10481990695034,183.39080368552712
35,2017,PHI,206.0,-206.0,106.148346,-128.96211,235.11046,-235.11046,122.00213122607929,-50.08062270335292,172.08275392943222,-96.99159356907907,98.2227708172675,-195.21436438634657,183.1994931295518
36,2014,NE,201.0,-201.0,144.19586,-70.23423,214.4301,-214.4301,158.62836053316755,-11.362594967756,169.99095550092355,-34.44085460965026,122.40369208807454,-156.84454669772478,180.9829249761835
37,2009,MIN,186.0,-186.0,108.181984,-98.73748,206.91945,-206.91945,130.4646301709918,-38.42029204379622,168.88492221478802,-70.14524876578537,108.58802975753834,-178.7332785233237,179.8109200041934
38,2004,IND,179.0,-179.0,265.1971,94.24142,170.95569,-170.95569,268.44854426172526,99.58796201582268,168.86058224590255,96.92086960857175,234.20838107234673,-137.28751146377496,179.78512822657743
39,2005,IND,189.0,-189.0,165.13539,-31.067415,196.20279,-196.20279,174.2332235478739,5.935931942130391,168.2972916057435,-13.677772415364583,143.83560119351884,-157.51337360888343,179.18823892928643
40,2022,PHI,185.0,-185.0,118.69083,-90.272964,208.96379,-208.96379,141.81218202279962,-25.960275324292972,167.7724573470926,-62.563357746086595,116.44463526611872,-179.0079930122053,178.63209982540937
41,2010,NE,198.0,-198.0,206.59239,-2.4342356,209.02661,-209.02661,212.69984779055324,45.36536445208992,167.33448333846331,30.30180867457762,161.8741744714397,-131.57236579686207,178.16800193418817
42,2019,SF,192.0,-192.0,73.8644,-150.95543,224.81982,-224.81982,95.66169048414648,-67.06334751631432,162.7250380004608,-119.35479048554456,84.26769947524079,-203.62248996078534,173.28361651652034
43,2010,GB,193.0,-193.0,109.32478,-106.79934,216.12411,-216.12411,126.1080396814103,-33.60525184785175,159.71329152926205,-77.49171401612752,104.21405689955508,-181.7057709156826,170.0922280810496
44,2021,KC,140.0,-140.0,203.8407,40.470547,163.37015,-163.37015,225.9753112250041,67.12972409722867,158.84558712777542,69.00766437050655,180.9587831387559,-111.95111876824937,169.1727676222118
45,2015,CAR,219.0,-219.0,79.07352,-163.1477,242.22122,-242.22122,102.00097568615318,-55.34339984840066,157.34437553455385,-116.78553819533514,85.59020283970584,-202.37574103504096,167.58201310033633
46,2007,IND,184.0,-184.0,143.36006,-53.27938,196.63943,-196.63943,153.86778563280905,-1.788682360790549,155.6564679935996,-29.111380077352628,126.62372233896791,-155.73510241632053,165.79342675754194
47,2018,NO,154.0,-154.0,149.21304,-31.353634,180.56668,-180.56668,166.61311352559446,11.733905204282074,154.87920832131238,-3.23235873261049,131.75934394205106,-134.99170267466155,164.96980579435115
48,2005,PIT,176.0,-176.0,114.916985,-75.11973,190.03671,-190.03671,126.33190302602911,-28.205200585188383,154.53710361121747,-57.534474117608866,109.68407259131438,-167.21854670892324,164.6072955279799
49,2002,OAK,156.0,-156.0,155.49666,-11.824774,167.32143,-167.32143,162.82151531985747,9.709604744315168,153.1119105755423,-7.613270673586408,150.9781283097116,-158.59139898329798,163.09709385069303
50,2021,TB,171.0,-171.0,103.99862,-96.72796,200.72658,-200.72658,121.8254166549283,-30.07896488665001,151.90438154157832,-67.72811111072548,97.19329268449789,-164.92140379522337,161.81753920313534
51,2012,SEA,175.0,-175.0,137.50154,-59.281353,196.78288,-196.78288,151.10128238188497,0.10819753500869744,150.9930848468763,-23.381569097182858,116.93133823396042,-140.3129073311433,160.85188629690077
52,2020,BAL,158.0,-158.0,100.48918,-92.8593,193.34848,-193.34848,115.12399368251074,-35.643287207444146,150.7672808899549,-65.06824589967982,95.92164125886026,-160.98988715854009,160.6126137871813
53,2013,SEA,235.0,-235.0,66.69732,-183.14963,249.84695,-249.84695,82.38471065196846,-66.32058677845018,148.70529743041863,-133.68867086452184,69.31560455019469,-203.00427541471652,158.42763897943237
54,2000,IND,97.0,-97.0,143.00752,27.112997,115.89452,-115.89452,205.05848208946077,58.24056960854796,146.8179124809128,78.52937785380391,121.76168933499139,-43.23231148118747,156.4276769777381
55,2022,BUF,155.0,-155.0,100.59846,-73.488045,174.0865,-174.0865,126.62686569842343,-19.789973893484927,146.41683959190837,-48.834031794088304,112.2165649743758,-161.05059676846412,156.00268125117543
56,2007,GB,163.0,-163.0,117.75591,-55.107304,172.86322,-172.86322,131.45350215406813,-14.080481752966172,145.53398390703433,-38.040927749292166,111.61792102192977,-149.65884877122193,155.06716577872757
57,2020,BUF,129.0,-129.0,184.96251,32.00612,152.9564,-152.9564,200.44459046705742,56.24595481511696,144.19863565194046,57.785153770623154,158.38424833314585,-100.59909456252268,153.65216786327014
58,2025,BUF,116.0,-116.0,182.99821,41.866043,141.13217,-141.13217,201.26265230966175,58.745855062550866,142.51679724711087,56.10523732082905,159.42356872808298,-103.31833140725394,151.87001266301272
59,2002,PHI,171.0,-171.0,34.625816,-184.43727,219.06308,-219.06308,4.79491504530543,-137.593271016437,142.38818606174243,-154.428937418812,43.47677151223965,-197.90570893105166,151.73373019249865
60,2015,NE,155.0,-155.0,94.61128,-82.17383,176.78511,-176.78511,107.0537078592178,-35.24253643521366,142.29624429443146,-62.689623721829456,85.92574644196974,-148.61537016379918,151.63630436474756
61,2022,SF,174.0,-174.0,64.97519,-141.70236,206.67755,-206.67755,80.31671077324754,-60.39153300138628,140.70824377463381,-112.3333274765321,67.57638038896368,-179.90970786549576,149.95358420789898
62,2018,LAR,144.0,-144.0,149.68689,-20.827446,170.51434,-170.51434,166.31173863239525,28.562615431476782,137.74912320091846,11.678933950308682,131.54785307428995,-119.86891912398127,146.8179606524541
63,2024,TB,114.0,-114.0,151.73462,19.152,132.58261,-132.58261,167.80220628758784,34.65347796173184,133.148728325856,34.576295686732415,137.03024635965593,-102.45395067292353,141.94316553165848
64,2004,PHI,153.0,-153.0,121.590675,-38.31481,159.90549,-159.90549,121.09320244362257,-11.967793627745431,133.060996071368,-28.792647662703445,118.1824386033576,-146.97508626606103,141.85020030199246
65,2020,KC,108.0,-108.0,213.76799,91.22997,122.53802,-122.53802,226.89566794995488,94.04950517631808,132.84616277363682,108.52542180640089,174.8388484943203,-66.31342668791942,141.62255281954668
66,2015,ARI,148.0,-148.0,90.73355,-75.777176,166.51074,-166.51074,120.40553341285506,-10.887952680591475,131.29348609344652,-44.42736956204721,101.39598563981478,-145.823355201862,139.97726346714904
67,2006,NE,168.0,-168.0,76.69606,-103.102585,179.79865,-179.79865,93.14573726463496,-37.77083667482519,130.91657393946016,-78.85630576427951,82.92695467892383,-161.78326044320335,139.5778695935533
68,2009,GB,158.0,-158.0,102.74083,-82.225296,184.96613,-184.96613,125.14613274472023,-5.42675256478995,130.57288530951018,-44.773545611566654,99.419667265595,-144.19321287716164,139.21368093108975
69,2012,SF,139.0,-139.0,124.265335,-27.60171,151.86703,-151.86703,144.6883235868755,16.758655803569578,127.92966778330593,1.6000857105687132,109.74307134353921,-108.14298563297051,136.4128031260585
70,2021,DAL,166.0,-166.0,66.61155,-125.04297,191.65451,-191.65451,84.53732189912637,-43.07379506313211,127.61111696225849,-92.0895574587894,73.3614983595455,-165.4510558183349,136.0752516700769
71,2023,BUF,151.0,-151.0,99.733864,-66.15092,165.88478,-165.88478,119.12607531063091,-7.978649903931245,127.10472521456215,-39.33517448267517,96.2334325648015,-135.5686070474767,135.5386551195802
72,2020,NO,147.0,-147.0,66.50526,-92.80012,159.30537,-159.30537,87.55683297665789,-39.39514100088959,126.95197397754748,-71.45782156033268,75.45308187714454,-146.91090343747723,135.37679271317438
73,2018,NE,140.0,-140.0,100.778046,-59.54869,160.32675,-160.32675,118.08973134532827,-8.731539526660933,126.82127087198921,-34.00569179783625,96.39603135880756,-130.4017231566438,135.2382935454829
74,2019,NE,188.0,-188.0,-25.107048,-242.74721,217.64015,-217.64015,-9.996737837527146,-135.06787092567967,125.07113308815252,-212.93694024369884,1.5638423012445752,-214.5007825449434,133.38376510584513
75,2009,LAC,131.0,-131.0,170.39189,31.689302,138.70259,-138.70259,177.73236679611279,52.851388307968215,124.88097848814459,52.15284114997305,140.18437664693,-88.03153549695693,133.18226833404836
76,2003,IND,139.0,-139.0,203.71248,53.353065,150.3594,-150.3594,188.67939064292133,64.43990719280916,124.2394834501122,46.64420099574738,187.7799097436228,-141.1357087478754,132.50250997278974
77,2004,LAC,130.0,-130.0,186.95856,53.51695,133.4416,-133.4416,187.45517220151712,63.21856096293617,124.23661123858095,56.75431485798283,166.39579096780193,-109.64147610981911,132.49946644214972
78,2015,SEA,140.0,-140.0,76.48859,-85.04267,161.53127,-161.53127,93.61652855738978,-29.09444043662765,122.71096899401743,-60.323025912459954,77.79642018811876,-138.1194461005787,130.88282405125562
79,2009,IND,125.0,-125.0,122.51164,-10.477413,132.98906,-132.98906,147.38678107980425,25.021995941154263,122.36478513864998,11.389086366498312,120.6098451781437,-109.22075881164538,130.51599133039696
80,2017,LAR,136.0,-136.0,65.12085,-98.68034,163.8012,-163.8012,81.8596492717744,-39.625400910683936,121.48505018245834,-75.70323085766245,71.18661074739111,-146.88984160505356,129.5837827290694
81,2010,LAC,119.0,-119.0,78.53194,-57.462997,135.99493,-135.99493,103.08012267449777,-17.958937533653515,121.03906020815128,-42.48076202529708,89.00946135188137,-131.49022337717847,129.11119074300726
82,2001,GB,106.0,-106.0,46.753654,-90.8722,137.62585,-137.62585,38.741744084322946,-82.0464656132934,120.78820969761635,-99.1723440887799,50.30412326667364,-149.47646735545354,128.84537772520883
83,2021,LAR,120.0,-120.0,59.475174,-94.43704,153.91222,-153.91222,84.5560555938049,-36.22917685331855,120.78523244712345,-72.44312506955345,77.68786594367162,-150.13099101322507,128.84222289033698
84,2003,GB,138.0,-138.0,106.366066,-39.50823,145.87428,-145.87428,105.73211322604229,-14.655008680373657,120.38712190641594,-44.50794705835269,109.16973179528253,-153.67767885363523,128.42036620757736
85,2003,KC,145.0,-145.0,192.21922,42.776882,149.44234,-149.44234,174.28289482102696,53.909912462746,120.37298235828098,42.90991088073973,172.84489586842466,-129.9349849876849,128.40538327630068
86,2000,OAK,194.0,-194.0,109.89131,-93.6443,203.53561,-203.53561,157.86092463593005,37.714993097120896,120.14593153880915,17.162620472839457,100.96264174039243,-83.80002126755298,128.16478953228673
87,2016,DAL,112.0,-112.0,119.40819,-11.552889,130.96107,-130.96107,134.12038419081384,14.668183873103441,119.45220031771038,9.545215028450633,105.47998011803658,-95.93476508958595,127.42967925075682
88,2014,GB,137.0,-137.0,120.47965,-35.513367,155.99303,-155.99303,140.77311142608522,21.83281521803484,118.9402962080504,0.7196617110240542,107.09391728267653,-106.37425557165247,126.88724154185215
89,2006,CHI,188.0,-188.0,-42.01886,-242.59752,200.57866,-200.57866,-12.28463418462563,-129.80293455560866,117.51830037098301,-209.47417514527683,16.66996796894692,-226.14414311422377,125.38042776682077
90,2005,CAR,143.0,-143.0,62.71705,-103.12866,165.84572,-165.84572,77.01986549922484,-40.128816237642575,117.1486817368674,-80.09248787019636,75.24574861895444,-155.3382364891508,124.9887624504565
91,2007,DAL,126.0,-126.0,130.036,-3.8942652,133.93027,-133.93027,144.6275460616606,27.95270823240184,116.67483782925878,15.477495290127015,123.16894900513155,-107.69145371500454,124.4866551245505
