,game_id,team,opponent,season,game_number,margin,margin_against,epa,epa_against,epa_net,epa_net_opponent,wepa,d_wepa,wepa_net,wepa_against,d_wepa_against,wepa_net_opponent,wepa_net_normalized
0,2000_01_ARI_NYG,ARI,NYG,2000,1,-5.0,5.0,1.7240715,5.656098,-3.9320264,3.9320264,6.110917579739977,6.021430291235447,0.0894872885045297,10.525426109515907,6.347622092813253,4.1778040167026536,0.9810854791231071
1,2000_02_DAL_ARI,ARI,DAL,2000,2,1.0,-1.0,11.853322,13.498592,-1.6452703,1.6452703,14.82020938506104,10.926030323491432,3.8941790615696075,18.172114769510895,8.253838433418423,9.918276336092472,4.973749517242851
2,2000_04_GB_ARI,ARI,GB,2000,3,-26.0,26.0,-12.602407,18.344944,-30.947351,30.947351,-7.291420733946038,10.595454022055492,-17.88687475600153,18.52840255052468,-0.41682400833815336,18.945226558862835,-17.88340566821073
3,2000_05_ARI_SF,ARI,SF,2000,4,-7.0,7.0,-1.3552703,3.001426,-4.356696,4.356696,4.886791318166966,3.3102213215315714,1.5765699966353948,4.6366395697406055,3.331655977293849,1.3049835924467565,2.541638082226777
4,2000_06_CLE_ARI,ARI,CLE,2000,5,8.0,-8.0,11.860519,5.4305506,6.429969,-6.429969,12.594264454526483,0.43376748031005263,12.16049697421643,0.4372070262026968,8.177208085078746,-7.740001058876049,13.648468055849028
5,2000_07_PHI_ARI,ARI,PHI,2000,6,-19.0,19.0,0.70480275,23.318604,-22.6138,22.6138,7.3230399599851355,11.659302055370063,-4.336262095384927,21.65011987703247,5.979995568981394,15.670124308051076,-3.663319760713334
6,2000_08_ARI_DAL,ARI,DAL,2000,7,-41.0,41.0,-19.998112,20.888239,-40.886353,40.886353,-12.63013059609072,10.444119322113693,-23.074249918204412,20.413054888502764,-4.157046449603513,24.570101338106277,-23.32706510180469
7,2000_09_NO_ARI,ARI,NO,2000,8,-11.0,11.0,-5.8489447,7.0729594,-12.921904,12.921904,5.202635430904868,2.301390222273767,2.901245208631101,3.0773609520128633,4.836564373224974,-1.7592034212121104,3.9317593841852467
8,2000_10_WAS_ARI,ARI,WAS,2000,9,1.0,-1.0,-5.634474,-3.5378184,-2.0966554,2.0966554,-0.9513584967489674,7.268875098787248,-8.220233595536216,11.677020293001709,2.049236550461501,9.627783742540208,-7.739180371425359
9,2000_11_ARI_MIN,ARI,MIN,2000,10,-17.0,17.0,0.031269073,16.685375,-16.654106,16.654106,1.2388413497880875,12.262981987558305,-11.024140637770218,21.288718870522363,2.576061890460551,18.712656980061812,-10.681615522943455
10,2000_12_ARI_PHI,ARI,PHI,2000,11,-25.0,25.0,-11.766949,9.001688,-20.768637,20.768637,-9.881702140966835,6.294524570461363,-16.1762267114282,10.263742759454319,-2.38025240926072,12.643995168715039,-16.088242396956968
11,2000_13_NYG_ARI,ARI,NYG,2000,12,-24.0,24.0,-13.497847,14.231765,-27.72961,27.72961,-5.666273622685728,8.686918124789372,-14.353191747475101,15.817567294828892,-0.09288279619067907,15.910450091019571,-14.175139687207986
12,2000_14_ARI_CIN,ARI,CIN,2000,13,-11.0,11.0,0.9020556,10.331732,-9.429676,9.429676,3.9762138479465707,4.759304393082857,-0.7830905451362864,9.971387548144047,2.3896346166729927,7.581752931471055,0.06539760093489211
13,2000_15_ARI_JAX,ARI,JAX,2000,14,-34.0,34.0,-2.4037466,30.47093,-32.874676,32.874676,-1.3323212126324246,15.235465210396796,-16.567786423029222,27.197815775295428,0.870592531748116,26.327223243547312,-16.49914726718946
14,2000_16_BAL_ARI,ARI,BAL,2000,15,-6.0,6.0,-21.056604,-12.435108,-8.621496,8.621496,-6.45421804252694,-1.7972229502629489,-4.656995092263991,-6.963965614097984,-0.004765639998367988,-6.959199974099616,-3.9998986950551747
15,2000_17_ARI_WAS,ARI,WAS,2000,16,-17.0,17.0,-17.29789,-1.2880812,-16.009808,16.009808,-5.268979158286747,2.6542757069692016,-7.923254865255949,1.103877370540816,1.5867547430098057,-0.48287737246898965,-7.427529292389
16,2001_02_DEN_ARI,ARI,DEN,2001,1,-21.0,21.0,-0.8172171,23.404423,-24.22164,24.22164,-0.5949948438573323,22.55442855708801,-23.14942340094534,18.121623612374048,-0.3543484653073782,18.475972077681426,-23.40595255946545
17,2001_03_ATL_ARI,ARI,ATL,2001,2,-20.0,20.0,-3.3307421,20.13671,-23.467451,23.467451,-0.32680308795569646,19.405390877957537,-19.732193965913233,16.067405745459915,-2.671313656362158,18.738719401822074,-19.81989358568808
18,2001_04_ARI_PHI,ARI,PHI,2001,3,1.0,-1.0,5.151852,1.8157631,3.3360891,-3.3360891,6.707741790173568,2.143363701650709,4.564378088522859,2.4980308072952915,5.117787593471473,-2.6197567861761812,5.677059985713045
19,2001_05_ARI_CHI,ARI,CHI,2001,4,-7.0,7.0,-5.879263,-0.72865176,-5.150611,5.150611,-8.792482024010459,-0.44042379269916343,-8.352058231311295,-2.379084618660632,-5.287546696339867,2.9084620776792356,-7.877517854194265
20,2001_06_KC_ARI,ARI,KC,2001,5,8.0,-8.0,10.561258,3.8857176,6.675541,-6.675541,12.055195268848655,3.999735849507938,8.055459419340718,-1.076332808800113,10.35979705549731,-11.436129864297424,9.340619536682555
21,2001_07_ARI_DAL,ARI,DAL,2001,6,-14.0,14.0,-19.420845,-6.411825,-13.00902,13.00902,-16.463081915734307,-5.924017250512202,-10.539064665222105,-6.1765753722680845,-18.303525802872226,12.126950430604142,-10.172574184809365
22,2001_08_PHI_ARI,ARI,PHI,2001,7,-14.0,14.0,-9.502085,6.448845,-15.95093,15.95093,-8.988241533278895,6.214507889077008,-15.202749422355904,-0.8818926162929693,-8.916268661852609,8.03437604555964,-15.066670086810525
23,2001_09_NYG_ARI,ARI,NYG,2001,8,-7.0,7.0,-13.8868,-4.323461,-9.563339,9.563339,-12.174919185877794,-4.021038369015609,-8.153880816862184,1.131265451015993,-12.99977799310164,14.131043444117633,-7.669549408119307
24,2001_10_DET_ARI,ARI,DET,2001,9,7.0,-7.0,25.897812,21.291094,4.606718,-4.606718,21.13964165213117,20.946010837218537,0.193630814912634,20.02327568883545,25.09801446326322,-5.074738774427768,1.0903742566362546
25,2001_11_ARI_LAC,ARI,LAC,2001,10,3.0,-3.0,9.11782,4.405596,4.712224,-4.712224,3.712887539105606,4.390589430810274,-0.6777018917046678,6.479920712488099,9.061879857031874,-2.5819591445437755,0.17599302145257179
