,season,team,margin,margin_against,epa,epa_against,epa_net,epa_net_opponent,wepa,d_wepa,wepa_net,wepa_against,d_wepa_against,wepa_net_opponent,wepa_net_normalized
67,2003,KC,145.0,-145.0,192.21922,42.776882,149.44234,-149.44234,193.31363315867105,65.07987596814876,128.23375719052228,60.920257993128104,153.40629932185772,-92.48604132872963,136.75945415980516
68,2023,BUF,151.0,-151.0,99.733864,-66.15092,165.88478,-165.88478,121.7816552350214,-6.399561062843832,128.18121629786523,-38.0821951915967,96.13841323359932,-134.22060842519602,136.70376853093552
69,2020,NO,147.0,-147.0,66.50526,-92.80012,159.30537,-159.30537,89.81523479902268,-37.59616736813229,127.41140216715496,-68.6660142596158,75.7544938619878,-144.4205081216036,135.88787862474092
70,2018,NE,140.0,-140.0,100.778046,-59.54869,160.32675,-160.32675,120.44511288978592,-6.779089965987091,127.22420285577303,-30.99887006855795,96.22766969947646,-127.22653976803443,135.6894748510116
71,2009,GB,158.0,-158.0,102.74083,-82.225296,184.96613,-184.96613,124.98150596299996,-1.5496637321704156,126.53116969517038,-49.626138367306,99.25200207328967,-148.87814044059567,134.95496149533685
72,2004,PHI,153.0,-153.0,121.590675,-38.31481,159.90549,-159.90549,131.83614778334498,5.859786292097803,125.97636149124716,-18.024648833662162,115.87627162542019,-133.90092045908236,134.366946290891
73,2021,DAL,166.0,-166.0,66.61155,-125.04297,191.65451,-191.65451,86.31062924105308,-39.61329774489276,125.92392698594584,-87.98681404633513,73.646461750024,-161.63327579635913,134.31137341699198
74,2012,SF,139.0,-139.0,124.265335,-27.60171,151.86703,-151.86703,140.41914665658314,15.319129472177739,125.10001718440539,-5.448122825195121,110.21432939386202,-115.66245221905714,133.43815004543418
75,2004,LAC,130.0,-130.0,186.95856,53.51695,133.4416,-133.4416,194.56814393439194,69.78311081426266,124.7850331201293,67.58191838812601,152.4820963422907,-84.9001779541647,133.1043132030033
76,2010,LAC,119.0,-119.0,78.53194,-57.462997,135.99493,-135.99493,107.99201506983593,-14.711149921166852,122.7031649910028,-48.3900931946803,89.87086075812,-138.2609539528003,130.89783877648773
77,2006,NE,168.0,-168.0,76.69606,-103.102585,179.79865,-179.79865,93.6101953569641,-28.52150764864045,122.13170300560455,-71.02366581221143,83.80909220314456,-154.83275801535598,130.29217300983032
